City,Province,Country,Address,Local Police,Local Fire,Type
Pinawa,Manitoba,Canada,"Pinawa, Manitoba, Canada",Pinawa police,Pinawa Fire & Rescue,Reactor
Ignace,Ontario,Canada,"Ignace, Ontario, Canada",OPP,Ignace Fire Dept,Dump site
Parry Sound,Ontario,Canada,"Parry Sound, Ontario, Canada",OPP,Parry Sound Fire Dept,Stakeholder
Kincardine,Ontario,Canada,"Kincardine, Ontario, Canada",OPP,Kincardine Fire and Emergency,Reactor
Pickering,Ontario,Canada,"Pickering, Ontario, Canada",Durham Police,Pickering Fire Service,Reactor
Bowmanville,Ontario,Canada,"Bowmanville, Ontario, Canada",Durham Police,Durham Fire Service,Reactor
Deep River,Ontario,Canada,"Deep River, Ontario, Canada",Deep River Police,Deep River Fire,Reactor
Bécancour,Quebec,Canada,"Bécancour, Quebec, Canada",Surete du Quebec,Le Service de sécurité incendie de Ville de Bécancour ,Dump site
Maces Bay,New Brunswick,Canada,"Maces Bay, New Brunswick, Canada",RCMP,Musquash Fire,Dump site
